Fon_Sentence,French_Translation
e vivi nu jan ɖo nukun tɔn lɛ nɔ kɛn,jean est content car ses yeux brillent
mɛ bi nɔ nyi wa nu nukun tɔn kloklo ɖe nɔ ta zo ɖi hwezivɔ ɖɔhun,tous admiraient ses grands yeux qui brillaient comme le soleil
un na cyán nùyɔ́ywɛ́,je vais aller chercher des brindilles
avɔvi enɛ ɔ lɛ ɖo kiko,ces mouchoirs sont brodés
vi ɔ ɖo awu tɔn fɛ wɛ,l'enfant brosse son vêtement
amu sú,le brouillard est épais
un nɔ mɔ̀ nɔ̀ví towe gbɔ̀ ă,je suis brouillé avec ton frère
yè dó nùkán lɛ́ bĭ zò,ils mirent le feu à toutes les broussailles
un ná xò klogbó é ɖò gle ce jí ɔ́ bó ná dó gbadé,je vais enlever les mauvaises herbes qui sont dans mon champ pour semer du maïs
zunkanmɛli lɛ nɔ kpla mɛ yi zunkan mɛ,les sentiers mènent à la brousse
e fùn,il a bruiné
jĭ ɖò funfun wɛ̀,il bruine
avɔ ce vún xaà ɖo nɛgbé,mon pagne s'est déchiré avec bruit dans le dos
un sè hlunhlún ɖaxó ɖé,j'ai entendu un grand bruit
e ɖò bìbí wɛ̀,il est brûlant de fièvre
wùtú tɔ́n hun myɔ̀,son corps est brûlant
wɔ̀ ɔ́ fyɔ́,la pâte est brûlée elle a pris au fond
amasin élɔ́ nɔ́ fyɔ́ ɖ'akpa mɛ̀,ce médicament brûle dans la plaie
e ji mɛ myɔ,elle s'y brûle
nukún cé nɔ́ fyɛ́,mes yeux me brûlent
jĭ kɛ wun mlawùn,il y a eu un brusque éclair
é ɖó hun tè glí,il a freiné brusquement
é gó sín mì mɛ́ céɖéwún,il nous a quittés brusquement
é hùn hɔ̀n ɔ́ glaà,il a ouvert la porte brusquement
é lɛ́ kɔ̀ vlawùn,il retourna brusquement
é xwɛ́ xwíwún,il s'est tu brusquement
vì ɔ́ fɔ́n gajawùn sin amlɔ mɛ̀,l'enfant s'est brusquement réveillé
ayihun gidigidi ɖe lɛ,des jeux brutaux
a nɔ bló gidigidì,tu agis brutalement
é ɖò hùn ɔ́ tè gliwùn,il a arrêté le véhicule en le stoppant bruyamment
bo nɔ to ye do gba mɛ,et les rangent dans le buffet
é nyi hwan nyidò,il a lancé un caillou à côté du but
é ɖò lĕe dò ă,il n'est pas comme ça
e jɛ nɛ,c'est ça
e sù mɔ̆,cela suffit comme ça
un ɖò kɛ́n ɖokpó,ça va comme ci comme ça
un ná yì nùgúdo,je vais aux cabinets
un ɖò gbɔ̀ɖíɖé bá wɛ̀,je cherche un jeune cabri pour l'élever
azinzɔnnɔ ɔ hwla ɖo zan gwlɛ,le malade se cache sous le lit
e hwlá akwɛ́ ɔ́,il a caché l'argent
é sɛ̀ cávi ɔ ɖó,il a caché la clé
mi ɖɔ ɖɔ kɔku hwla asiba sin gbɔ,nous avons dit que koku a caché la chèvre d'asiba
ye ze hwla e,ils la cachent
é nɔ́ w'azɔ̆ ɖ'awlin mɛ dín,il travaille trop en cachette
bo bɛ cyɔ yetɔn lɛ wa xwe gbe,et transportèrent les cadavres dans leur demeure
é kán'gbàn nú mì,il m'a fait un cadeau à son retour
tɔ́ cé wɛ́ jɔ̀ wŭ mì,c'est mon père qui m'a fait un cadeau
un nɔ nɔ kajɛwun,j'habite cadjèhoun
sú kokló lɛ́ d'ája mɛ̀,enferme les poules dans la cage
gba elɔ wɛ nyi kpɛvi bi ɔ,cette caisse est la plus petite
lɛ̆n akɔ́nta ɔ́,fais le calcul
e ɖò cúɖúɖú,il est calme
mi ni fa xomɛ,que nous soyons calmes
xwé tówé gbé fá,ta maison est calme
e hwíhwɛ́ ɛ̀,il l'a calmé
nù élɔ́ è nyaví élɔ́ bló ɔ́ wɛ́ ná zɔ́n bɔ̀ xwíɖíxwíɖí kpó xwiɖixwiɖi kpó ná xwɛ̀,ce que vient de faire cet enfant fera calmer toutes les rumeurs
ma sɔ́ dó hà tɔ́n ó,ne sois plus son camarade
dɛ̆dɛ̆ kábákábá agánma nɔ liyá hŭn,lentement sans hâte le caméléon monte au fromager
gleta wɛ ye nɔ gosin kpodo vi yetɔn lɛ kpo,ils viennent de la campagne avec leurs enfants
eo mi yi mɛ a ɖo gbemɛ fa avivɔ gbɛ,non nous n'avons pas campé parce qu'il faisait froid
sin wiwi kpákpá ɖɔ́hùn,couleur noire comme un canard
e sí tamɛ ă,il est capable de faire un mauvais coup
aslɔ lɛ mya ɖo ye ɖo ayi jɛ wɛ sin atin ɔ ji,les pommes sont mûres car elles tombent de l'arbre
e ɖó jujɔ ɖagbe,il a bon caractère
jijɔ tɔn nyɔ́,il a bon caractère
jujɔnyanyanɔ̀,celui qui a mauvais caractère
é lílí alɔ wùtú cè,il m'a caressé
enyí é wá hŭn,au cas où il viendrait
e yi xɔ mɛ,il est allé dans la case
vi lɛ nɔ ɖe gbakun yetɔn lɛ nu ye ɖo xo ɖɔ nu mɛsi yetɔn wɛ ɔ,les enfants retirent leur casquette quand ils parlent à leur maître
jɔhon nɔ gbɔn nukpɛn gbigba ɔ nu,le vent souffle par la vitre cassée
atín fɛ́n alà,la branche d'arbre s'est cassée
e ɖo gbigba wɛ,il la casse
é ná wá wɛ́n,cela finira par casser
go ɔ́ gba cɛwùn,la bouteille s'est cassée bruyammant en mille morceaux
kàn ɔ́ ná wá wɛ́n,la corde finira par casser
to gba nyi hɛnu gba a,même si un pays se casse la famille ne se casse pas
gannu mitɔn lɛ nɔ kɔn,vos casseroles brillent
mɛsi ɔ nɔ kplɔn mi yɛhwexixa mawusɛn lɛ nuxixa nuwlanwlan akɔntabiblo kpo hanjiji kpo,l'instituteur nous enseigne la prière le catéchisme la lecture l'écriture le calcul et le chant
đó jì jà wútú wɛ̀ un yì aximɛ̀ ă,a cause de la pluie je ne suis pas allé au marché
é sín wutú tówè,c'est à cause de toi
un nɔ dotoxwe ɖo awovinu wu tu,a cause de l'accident je suis à l'hôpital
a sìgán wà nù à jló lé,tu peux faire ce que tu veux
awii enɛ ɔ lɛ,ces chats
é flɔ́n xó ɔ́ nú mì,il ma donné la réponse à ce que je lui ai dit
nyavi dɛ̆,ce garçon
yì élɔ́ kpéná,prends ceci en plus
é cyó dó mì,cela m'a surpris
é jɛ́n nɛ́ gɛ́gɛ́,c'est exactement cela
e víví nú mì,cela m'a fait plaisir
kpannyà wɔ̀ zɛ̆n,cela n'a pas été facile
mɔ̀ jɛ́n wɛ̀,c'est comme cela
mɔ̆ wɛ e jɔ̀,il est comme cela
sɔ́ kplá nù élɔ́ átín kɔ̀,accroche cela à l'arbre
un sè nù nɛ́ ɔ́ kpɔ́n ă,je n'ai jamais entendu cela
e blo amisa ɔ,il célèbre la messe
nɔ towe tɔn lɛ wɛ,ce sont celles de ta mère
nyaví ɔ́ ɖò afín fúnfún wɛ̀,le garçon est en train de répandre de la cendre
tawungá ylɔ́ nyĭ cè égbé ă,je n'ai même pas un centime sur moi aujourd'hui
wèxɔ́mɛ́ví lɛ́ kplé bó jínjɔ́n ayĭ togoo bo ɖò nù kplɔ́n wɛ̀,les écoliers sont rassemblés et assis en cercle et sont en train d'étudier
e yì ɖò nùwíwá ɔ́ hwénú,il est parti pendant la cérémonie
yĕ wà kútítɔ́nú,ils ont fait la cérémonie des ancêtres
mɛ nabiɖé,certains
vi ɖe,un certain enfant
un na wá hŭn,je viendrai certainement
é nɔ́ ɖɔ xó yuù,il parle sans cesse
e gbɔ̀ nŭ ɖù,il a cessé de manger
gɔ̀n azɔn wɛ̀n,cesse de gémir
jì ɔ̀ bló yɛɖɛyɛɖɛ̀,la pluie commence par cesser
mi nu mi blo azɔ ɖe,que vous cessiez ce travail
a na má kanta mɛ ɖokpó ɖokpó tɔ́n,tu donneras à chacun sa part
mì wá azɔ̀n ɖokpó dokpó,venez une fois chacun
avivɔfún slɔ́ mì,j'ai la chair de poule
un jɛ̀ dɛ̀fúnfún,j'ai des boutons de chaleur
un ɖo xɔnɔnɔ we,j'ai deux chambres à coucher
e nɔ́ lɛ glè,il cultive le champ
gbade gle,champ de maïs
nyɛ ɖokpónɔ́ kɔ́kɔ́ɖɔ́kɔ́ wɛ́ gó sín xwé wá gleta,c'est moi tout seul qui ai quitté la maison pour venir venu au champ
mi nɔ mɔ hunto ɖo atinkuku lɛ mɛ,on trouve des champignons dans les bois
a nyɔ́ tà,tu as de la chance
đagbe jɛ́n ná nyí,bonne chance
nú ta bɔ we ɔ́,si tu as de la chance
ta ce bló,j'ai eu de la chance
un ɖo ta ɖagbe,j'ai de la chance
azɔn huzu,la maladie a changé pas d'espoir de guérison
vì ɔ́ húzú dó mì,l'enfant m'a paru changé après un long voyage
e ké nyìkɔ́ ce dó han mɛ̀,il a crié mon nom dans un chant
e tlɛ sɔ nɔ ji han vɔvɔ ă,il ne chante même pas
kokló kɔ́ akɔ́,le coq a chanté
xɛvi ɔ nɔ ji han,l'oiseau chante
bo vi tɔn hɛn gbakun ɖo alɔ mɛ,et son fils a un chapeau à la main
atinsinsɛn ɖo xasun ɖokpo ɖokpo mɛ,il y a des fruits dans chaque panier
cuku ɖokpo ɖokpo ɖo kɔnu tɔn,chaque chien a un collier
hweɖebunu ɖee nukplɔnmɛtɔ jawe ɔ,chaque fois que le professeur arrive
zan mɛ tɛgbɛ ɔ,chaque nuit
agban fúɖáfúɖá wɛ̀,c'est une charge légère
azɔ̀ élɔ́ ɖ'alɔ ce mɛ̀,je suis chargé de ce travail
wà ɖìɖá agban mì,viens me charger
bo nɔ bɛ ɖo kɛkɛvi ɔ mɛ,et le chargent sur la charrette
é yi nya gbĕ,il est allé à la chasse
e fún ì dó gbĕ,on l'a chassé dans la nature
gbenyatɔ ɔ kpodo cuku tɔn kpo ɖiɖo ɖo zanzan tɛɛn,le chasseur et son chien partent de bon matin
un xlá kɔ̀,j'ai un chat dans la gorge
é híhí wú n'í,il lui a fait des chatouilles
hàn sisá ɖiè,voici un verrat châtré
hwevɔ gbɛ,le soleil est chaud
wùtú ce gblɔ́,mon corps est chaud
zozo hɛn mi ă,je n'ai pas chaud
e gblɔ́ mì,ca me chauffe
un kɔn ami ɖo nu ɖa bo ze ɖo ado ji,je mets l'huile à chauffer
afɔgodwe tɔn lɛ kwiji,ses chaussettes sont sales
afɔkpa ɔ fyɔ́n mì,la chaussure me serre
e mɔ́ ta,il est chauve
daa ɔ klo,le chef de village est gros
gan ɖe nyi kpɛvi a,point de petit chef un chef est un chef
atín ɖé sú ali ɔ́,un arbre barre le chemin
é jɛ­̀ ali ɖagbe jí,il s'est mis sur le bon chemin
mi bló ali ɖó nú aklunɔ,préparez le chemin du seigneur
mɛ e ɖó awù we ɔ́ ɖó ná ná ɖokpó mɛ e ma ɖó ɖè à é,celui qui a deux chemises doit en donner une à celui qui n'en a pas
a vɛ́ nú mì,tu m'es cher
e sà axi vivɛ́ tɔ̀n,elle a vendu cher
e v'axi din,c'est très cher
mì vɛ́ xá mìɖéé,nous sommes chers l'un à l'autre
xɔ́ntɔ́n cé vívɛ́ná wɛ̀,c'est mon ami très cher
yè vɛ́,ils sont chers l'un à l'autre
bó ná dó mɔ̀ nyɔná ɔ́ nɔ ba ná tò gbɛ towe sɔ́ nyì xó mawu tɔn jí,pour être heureux cherche à bâtir ta vie sur la parole de dieu
e ɖo cavi tɔn lɛ ba wɛ,il cherche ses clefs
hoxónɔ́ ou hòxó nɔ́ bà nakí ă é nɔ́ yí cyán nŭ ou nùywɛ́ywɛ́ brindilles,la mère des jumeaux ou les jumeaux ne va pas chercher du bois elle va choisir la chose
mɛ ɖokpo na wa kpla mi,quelqu'un viendra vous chercher
un ɖo azɔ ba wɛ,je cherche du travail
un ɖo ye ba wɛ,je les cherche
wèmá ce ba wɛ un ɖé,je cherche mon livre
e nɔ́ bóɖó è,il le chérit
é jɛ̀ jeké,il est chétif
đa tɔ̀n bì wé,toute sa chevelure est blanche
vi kpɛvi ɔ ɖo pupevi ɖee ɖo ɖa fɛɖɛfɛɖɛ ɔ,la petite fille a une poupée qui a des cheveux fins
a na wa gɔn ce,tu viendras chez moi
e byɔ́ kɔsí xwé gbè,il est entré chez kossi
mɛ̌si gɔn wɛ un ɖè,je suis chez le maître
un mɔ ɛ̀ ɖ'àlì mìtɔ́n xò,je l'ai vu sur le chemin de chez nous
wà xwé cé gbè,viens chez moi
ye na nɔ gɔn mitɔn,ils resteront chez vous
cuku kpodo awii kpo,le chien et le chat
jigán ɖ'afɔ ce mɛ̀,j'ai une chique au pied
a na sɔ wema xixa ɖokpo,tu choisis un livre
kpɔ́n bó sɔ́,choisis
e tuun ɖee e na bo gbɔn ɔ a,elle n'a pas le choix
e vɛ nɛ kpowun wɛ,il est seulement choqué
e cí nù ɖè lɛ́ ɖɔ́hún ă,il n'est pas comme les autres choses
nù cé wɛ̀,c'est ma chose
nŭ yàyá wɛ̀,c'est une chose ordinaire
un ko bló nú ɔ,j'ai déjà fait la chose
wă gɔ̌n ce ma ɖɔ̀ xó nú wè,viens près de moi que je te dise quelque chose
e flɛ́ sín atín ɔ́ jí,il a fait une chute du haut de l'arbre
un ɖò kɛ́n ɖokpó,ca va comme ci comme ça
e yì măwù gɔ́n,il est allé au ciel
vɛ́la ɖaxó ɖokpó ná kó ɖò títá ɖò vɔsákpé ɔ́ jí,un gros cierge est déjà allumé au centre de l'autel
awii atɔɔn,cinq chats
e bló kpɔwun wè,cela fait cinquante francs
atɔɔngɔ,cinquième
é zé adaklɔ́má bó dó xo akpà zɔ̀ nú vĭ tɔ̀n,il a nettoyé la plaie de circoncision de son enfant
yè ylɔ́ nɔví ce wá hwɛxɔsá,mon frère fut cité devant le tribunal
ama yɔyɔ lɛ nɔ nyi amamu yɛ,les jeunes feuilles sont d'un vert clair
fí bì hɔ́n,il fait bien clair
gbɛmɛ hɔ́n,il fait clair
nukun zawezawe,des yeux clairs
un nɔ mɔ̀ nŭ flúflú,je ne vois plus assez clair ma vue baisse
a nɔ tɛ̀ ɖɛ̀ xó jí ganjí ă,tu ne prononces pas clairement
xó é tíín ɔ́ un ko sè hézéhézé tɔ́n ɖò vì cé nu ă,l'affaire est en cours je ne l'ai pas entendu clairement de la bouche de mon enfant
sin ɔ́ zìn,cette eau s'est bien clarifiée
cavi ɖie,voici la clé
mɔ̆to tɔn tá myɔ nyawùn,sa voiture a clignoté
agɔnkɛ́ ɔ́ zìn,le coco est à maturité
koklo e do han akɔkikɔ wɛ,il chante
é ɖò atín tɛ́ntín,il est au coeur du bois
kpó ayi kpó,de bon coeur
un wɔ́ ayi tɔ̀n,j'ai découvert son coeur
e ny'aglo mì,il m'a cogné
năna sɔ́ sàlò dó blá ta ná,maman s'est coiffée d'un grand foulard
đa a ɖò ɔ́ jɛ́ wè,cette coiffure te sied bien
é ɖò gogwe mɛ̀,c'est dans le coin
sín wɛ̀kɛ́ zwè ɛnɛ lɛ́ mɛ̀,des quatre coins du monde
é ɖò xomɛsin jí,il est en colère
kpodo xomɛsinsin kpo,en colère
xo tɔn mɛ gblé,il est en colère
xomɛ sin ì,il est en colère
e nɔ́ yí hă mɛ hú jigán,il est plus collant qu'une chique
e jlá xó ɔ́ gbɔn to mɛ̀,il a colporté l'affaire a travers la ville
e kpe axɔ seblabla mɔ ɖe wu ă,il ne réussira pas une telle combine au sujet de la dette
nú a jlŏ ná mɔ̀ gbɛ mavɔ mavɔ hŭn nyì sɛ́n lɛ́,si tu veux entrer dans la vie observe les commandements
e zɔ́n galí mì,elle m'a commandé du gari
a ɖo na blo ɖi dɛ mi ɖo ɖiɖɔ nu wɛ o,tu dois faire comme on te dit
a na bló é ɖɔ́hùn,tu feras comme lui
a nɔ wà nǔ ajɔ̌n ɖɔhùn,tu agis comme un mouton bêtement
blo ɖi mi ɖɔhun,fais comme moi
do fi ɖi itali ɖɔhun,ici comme en italie
é bló ɖó gan tɔ́n jí,il a fait comme il convenait de faire
e ci,comme semblable à
é ɖò mɛ̌ jɔgbè,il est nu comme au jour de sa naissance
e ni bló lĕe a ɖɔ gbɔn lé,qu'on fasse comme tu as dit
ée é ɖò hinhɔn yi nukɔn wɛ ɔ́,comme il s'enfuyait
kpɔn lee  klo gbɔn e,regarde comme  est gros
lĕe a jlo gbɔ́n lé,comme tu voudras
lee si ɖɔ xo a ɖo gbe jɛ su,comme j'ai perdu la voix je ne peux crier
mɔ̀ lɔ̀ w'ɛ́ ɖè,il est comme ça
mɔ jɛn e nɔ blo kutɔnu ɔ,c'est comme ça qu'on fait à cotonou
nŭ mɔ̀hún wɛ́ n'í,il est comme cela
un yi di zanzan tɛgbe ɖɔhun,j'y étais allé comme chaque matin
jì wɔ́,la pluie a commencé
azɔ nɔ bɛ ɖo gan tantɔn mɛ,les cours commencent à huit heures
é jɛ̀ nukúnnú mɔ́ jí,il commença à voir
hwenu ɖee un bɛ trolo ɔ agbɔn nɔ kpe mi nu ayi jijɛ,quand j'ai commencé j'en avais assez de tomber tout le temps
kentɔ́ lɛ́ jɛ̀ ya do nú yè jí,les ennemis commencèrent à les tourmenter
un ja azɔ̀ wá gbé,je vais commencer à travailler
e nɔ́ ɖu kwɛ́ dó lìkpá mɛ̀,il dépense son argent n'importe comment
hwi wɛ ná xlɛ́ mĭ lée mì ná zán gbɛ mìtɔ́n gbɔn égbé b'á dó nyɔ́ ɖ'así wé é,c'est toi qui nous montreras comment vivre aujourd'hui pour te plaire
lĕe e nɔ bló gbɔ́n ɔ́ ɖíè,voici comment on fait
un sɔ́ tuwùn alɔ e un na zán xá mi é ă,je ne sais plus comment me comporter avec vous
e nɔ w'ajɔ,il fait du commerce
mais ye ɖo finɛ bo kpo nu e na nɔ ɖɔ mɛ ɖevo sin xo,mais elles sont là seulement pour commérer sur les autres
mi na kpé dó wemá élɔ́,ce livre vous appartiendra en commun
un xwe gboa ɖo bonu kanmɛ,je vais à gboa dans la commune de bonou
lan tikotiko ɖé wɛ̀,c'est une viande bien compacte
gbɛ̀ cé wɛ̀,c'est mon compagnon
énɛ́ ɖo sin ce mɛ̀ ă,ce n'est pas de ma compétence
akwɛ́ cé bì wɛ́ vɔ́ séé,mon argent est complètement fini
ayikúngban vatankpánnyá,une terre complètement boueuse et glissante
e bú bì gbídígbídí,il a disparu complètement
é fá tɔɔ̀,c'est complètement froid
e kíjá xɔ ɔ́,il a détruit complètement la case
jì xó mí bɔ̀ un fá bì kpɛ́ncɛ́nkpɛ́ncɛ́n,j'ai été frappé par la pluie et je suis complètement mouillé
un gbɛ́ bó t'àfɔ̀ jí,je refuse complètement
e xa mi ɖ'ajo mɛ̀,il m'a accusé de complicité dans le vol
e hízí dín,c'est très compliqué
yĕ nɔ̀ sébíblá mɛ x'ɛ́,ils sont restés dans le complot avec lui
yĕ ɖò gbè cé blá wɛ̀,ils complotent contre moi
mɛnyinyí tɔ́n wú wɛ ̀ un gbɔ bo xwɛ,a cause de son comportement je me suis tu
a mɔ̀ nù jɛ́ mɛ̀ ă,tu n'as pas compris
ɛɛn un mɔ nu jɛ mɛ,oui je comprends
un ɖo nu mɔ jɛ mɛ kpɛkpɛ wɛ,j'arrive à comprendre
e hwyɔ́ akpa tɔ̀n,il a mis des compresses d'eau chaude sur sa plaie
akwɛ́ ɔ́ hízí dó mì,je me suis embrouillé dans mes comptes
é nyɔ́ akwɛ́ lɛ́n ă,il ne sait pas faire les comptes
lɛ̀n kpɔ́n ɖɔ̀ é sɔgbe ají,vérifie si le compte est juste
xó e nɔ ɖɔ nú wé ɔ́ nɔ hɛ̀n d'áyi mɛ̀,tiens compte de ce qu'on te dit
é ɖò nù xá wɛ̀,il compte
xà kwɛ́ tówè,compte ton argent
e ɖú mí ă,cela ne me concerne pas
e nɔ́ kplɔ́n nŭ mɛ dó gbɛ wú,son enseignement concerne la vie
kɔxo mɛ tɔn ta,cour de la concession
yĕ ɖò atɛ ci wɛ̀,elles se font de la concurrence
e wlí i nú xwe wè,on l'a condamné à deux ans de prison
yè ɖó hwɛ n'í xomɛ̀ vɔ̆,ils l'ont condamné bien qu'il fût innocent
kú dó tagbà,mes condoléances
bill ɖo kɛkɛ kun wɛ,bill conduit une moto
nɔ ce nɔ kpla mi yi azɔmɛ azan lɛ bi,ma mère me conduit à l'école tous les jours
un gɔ̀n kɔnfisáwun bló din ɔ́ sun atɔn ɖíè,je ne me suis plus confessé depuis trois mois
é nyí gbɛtɔ́ ɖ'èjì d'éwú,c'est un homme de confiance
un ɖè ji dó wŭ wè,j'ai confiance en toi
é ɖó vì tɔ́n nú mì,il m'a confié son enfant
un dé nù ɔ́ asi n'i,je lui ai confié la chose
un sɔ́ xó ɔ́ d'ásí n'í,je lui ai confié l'affaire
vi kpɛvi yi wan nu wiimi,bébé aime la confiture
e gán jɛ́ mɛ̀,il s'est assis confortablement
e ná mì gbɔjɛ́ nú azàn tántɔ̀n,on m'a donné huit jours de congé
e dán éɖéé,il a perdu connaissance
nukún tɔ́n mɛ́ wá j'àyĭ,il a repris connaissance
e tuwun mì,il me connaît
ayi ce nɔ xo hùn xá mì,j'ai la conscience troublée
é kéjé ayi tɔn mɛ kpɔ́n,il a fait son examen de conscience
e ɖo nu kplɔn mɛ sin hu ɖo,il a besoin de plus en plus de conseils
vi lɛ mi nɔ xwe do nukplɔn mɛ mɛjitɔ mitɔn lɛ tɔn,enfants suivez les conseils de vos parents
toxóɖɔ́gbɛ́ é ɖò to yɛ mɛ lɛ́ ɖ'azɔ̀ wú ganjí,les conseillers qui sont dans ce village travaillent bien
e yí gbe nú kú,il a consenti à mourir
a nyɔ́ nŭ hɛ̀n ă,tu ne sais pas conserver les choses
nà syɛ́nsyɛ́n dò ɔ́,consolide le mur
e jí gò,il est constipé
đ'áyì xóxó ɔ́ fí un gbá xɔ ɖó ɔ́ ɖiè,voici l'endroit où j'ai construit une case autrefois
kí wɛ̀ é sɔ́ dó gbá xɔ tɔn ná,ce sont des branches de palmier qu'il a utilisées pour construire sa case
é kàn kú nú mì,il a consulté et a trouvé de mauvaises choses pour moi
é nɔ́ mɔ̀ nŭ mɛ̀,il consulte bien
e ɖo hwenuxo ɖɔ nu ye wɛ,il lui conte une histoire
xóɖɔ́núwɛ̀kɛtɛ̀n benɛ to tɔ́n ɔ́ ɖɔ̀ hwenuxó víví ɖokpó sɔ̀ zăn mɛ̀,la radio du bénin a donné un beau conte hier soir
ahan ɖò gò élɔ́ mɛ̀,cette bouteille contient de l'alcool
e vivi nu jan,jean est content
nù tówé vɛ́ wŭ cè,je ne suis pas content de toi
e fɔ́n tɛgbɛ bo ɖ'azɔn jɛ wɛ̀,il est continuellement malade
é gbɛ́ kpò ɖ'àyìhún dá wɛ̀,il continue à s'amuser
é nyɔ́ wá ɔ́,au contraire
é ɖɔ̀ xó dó wŭ cè,il a parlé contre moi
é jlɔ́ dó dò wú,il se dressa contre le mur
e sìxú wà nù tí nú mì ă,il ne peut rien contre moi
xó tɔ́n nɔ́ nyi ta fí ɖokpó ă,il se contredit
dùdúwɔgɔ tɔn sa w'ɛ ɖé,elle est en train de vendre sans contrôle
un na yí mɔ́ ɛ́ b'ɛ́ ná yí xó cè,j'irai le voir pour le convaincre
a jɛ̀ xá mì,tu me conviens
e jɛ́ mɛ ă,cela ne convient pas à la personne
é kpé ná,cela convient
un ɖɔ x'ɛ́ b'ɛ́ ná wá sɔ̀,j'ai convenu avec lui qu'il vienne demain
é jɛ̀ ali ɖagbe jí,il s'est converti
e ylɔ́ ɛ́ ɖò gàn gɔ́n,on l'a convoqué chez le chef
mɛɖe sɔ ɖo asu ɖokpo ɖo wɛ ă,il y a plus aucune maintenant qui a un copain
kan towe hwe gli dín,ta corde est trop courte
vì ɔ̀ sín wùtú hun myɔ gbógbógbó,le corps de l'enfant est très chaud
é sɔ gbè,c'est correct
e kpɔ́n azɔ̆ cè,il a corrigé mon devoir
nùzínzán tówé j'acɔ́,ton costume est beau
atín ɔ́ nɔ́ dán ginnyaà,l'arbre se balance de côté et d'autre
e ɖo tɔ kpa,c'est à côté de la fontaine à eau
gannú ɖò atín ɔ́ kpá fínɛ́,le récipient est là à côté de l'arbre
mĭ ɖò xwé kpá xwé kpá,nous habitons côte à côte
vì lɛ́ bì ná ná nùjɔ́ dó wà xwetanú,tous les enfants donneront leur cotisation pour faire la cérémonie de fin d'année
e ɖŏ alɔ̀ kɔ̀,il a reposé le cou sur sa main pour une personne âgée morte sur la natte
dadá slɛ́ ɖɛ̆ dó suví tɔ́n mɛ̀,le roi coucha avec elle
ée hwe gba'mi zɛ́n é ɔ́,comme le soleil se couchait
hwè yì xɔ̀,le soleil s'est couché
te lĕe mì dɔ̀ ɔ̀ ɖíè,et voilà que nous ne nous sommes pas couchés
un nɔ ml'ayi ɖo gan wo mɛ,je me couche à dix heures
e nɔ nya awu mitɔn lɛ bo nɔ lɛ tɔ ye e,elle lave et coud nos habits
ami ɖò lùlùlúlú wɛ̀,l'huile coule
e ɖúɖú sìn,il laisse couler de l'eau
hùn nà syɔ́,le bateau va couler
hwɛkan tɛ́ wɛ̀ avɔ tɔn ka ɖó,de quelle couleur est son pagne
é dín léwún,il est passé en coup de vent
é ná asigban lɛ́ zogbè zogbè,il remit les cadeaux de noces d'un seul coup
é zé nŭ cè xawùn,il a pris ma chose d'un seul coup
wa nu ɖokpo,viens boire un coup
nusatɔ ɖo folo sisɛn sa wɛ,le marchand vend des fleurs coupées
bo na sɛn timati lɛ,et les tomates seront coupées
e ɖo abɔkun ɔ sin wɛ,il coupe le mil
é sɔ́ asyɔ́ví dó gbo atín ná,il a coupé l'arbre avec une hache
glelɛtɔ ɔ ɖo abɔkun sɛn wɛ,le paysan coupe le mil
kanlinnyitɔ le ɖo abɔkun zinzin sin wɛ,les fermiers coupent le mil mûr
un ɖo wɔxuxu sɛn n'ɛ wɛ,je lui coupe du pain
é ɖò kɔ́xo jí,il est sur la cour
ye jinjɔn ayi ɖo kɔxota,ils sont assis dans la cour
kú cɛ́ nago ɛ́kú ícɛ́,salut pour le travail bon courage
un ɖo akɔnkpikpan ă,je n'ai pas de courage
e gbí mì,j'ai reçu une décharge de courant électrique
sún lɛtlíki kan ɔ sín ì,retire la prise de courant
alɔ ce gɔ́dɔ́,ma main est courbée
azwi lɛ ɖo wezun kan wɛ ɖo gle ɔ mɛ,les lapins courent dans le champ
e fyá yì toxo mɛ̀,il courut à la ville
ma dán gblágblá ó,ne cours pas à droite et à gauche
é d'ása tɔ ɔ́,il a traversé le cours d'eau
un sɔ ɖo nu xixɔ sin hudo a,je n'avais pas besoin d'aller faire des courses
é sɛ́n ta nú atin lɛ́ bĭ dó gligli jí,il a coupé très court la tête de tous les arbres
tɔ́ ce nɔví sín vĭ wɛ̀,c'est mon cousin
é xú jìví mì,il m'a donné un coup de couteau
un xɔ jivi ɖokpo,j'ai acheté un couteau
walɔ mitɔn wɛ,c'est notre coutume
kokló ɔ́ nɔ fɛ azìn,la poule couve
sunnuvi ɔ ɖ'amlɔ dɔ wɛ ɖo avɔ gwlɛ,le garçon dort sous la couverture
cyɔ́n avɔ dó távò,couvrir une table d'un pagne
gbă nù nú agbán tówè,couvre ton bagage
jĭ ɖò wuwu wɛ̀,le ciel se couvre de nuages
kɔ towe mɛ xlá,ta voix est couverte
é tún hùn b'ɛ́ sa tɔ̀,il a craché du sang abondamment
e sí tamɛ ă,il ne craint pas pour sa tête
xɛsi ma ɖi we nú a gɔn mali da ó,ne crains pas de prendre chez toi marie ta femme
mì nà gó yì măwù gɔ́n,nous irons chez dieu sans crainte
yɛ̀ dó gan mì,j'ai une crampe
atín ɔ́ ɖò kawunkawun nù ɖɔ́ wɛ̀,l'arbre est en train de craquer
xɔ ɔ gɔ́ bó ɖò gbágbá,la case est pleine à craquer
e sà nù nú mí axɔ́,il m'a fait crédit
