abă	bras
azinzɔnnɔ ɔ ɖo amasin ɔ kpɔn wε	le malade regarde le remède
azinzɔnnɔ ɔ ɖo amasin ɔ kpɔn wε kpodo jlo kpo	le malade regarde avec envie le médicament
azinzɔnnɔ ɔ ɖo amasin ɔ kpɔn wε ɖi jlo mε ɖɔhun	le malade regarde avec dégoût le remède
azinzɔnnɔ ɔ ɖo xo ɖɔ xa doto ɔ wε	le malade est entrain de discuter avec le docteur
azinzɔnnɔ ɔ ɖo xɔ tomε	le malade est dans sa chambre
azinzɔnnɔ ɔ ɖo xɔ ɔ mε wε à	le malade est-il dans sa chambre
azinzɔnnɔ ɔ ɖo zan tɔn ji	le malade est sur son lit
gudo	derrière
nukɔn	devant
azinzɔnnɔ ɔ ɖo zan ɔ gudo	le malade est derrière le lit
azinzɔnnɔ ɔ ɖo zan ɔ nukɔn	le malade est devant le lit
azinzɔnnɔ ɔ ɖo zozo tɔn yi wε	le malade prend température
azizɔnnɔ ɔ ɖo xwe tɔn gbe	le malade est dans sa maison
azizɔnnɔ ɔ ɖo xwe ɔ gbe	le malade est dans la maison
azwi lε ɖo wezun wε ɖo gle ɔ mε	les lapins courent dans le
azwi ɔ ɖo do kun wε	le lapin creuse
azwi ɖo hwihwla ɖo atinsomε	le lapin dans le
azɔ mitɔn lε bi vɔ	tous nos devoirs sont
azɔ nɔ bε ɖo gan tantɔn mε	les cours commencent à huit heures
azɔngbɔnu mitɔn	le soignant
bă	fouet
babá	la boue
nu bi gudo ɔ	après tout
bi nε	voilà tout
bi ɖie	voici tout
dεdε mε	fais doucement
un nɔ ɖɔ fransegbe glεsingbe kpodo italiεn kpo ganji	je parle le français  l'anglais et l'italien couramment
kεkε	la moto
un ɖo kεkε kun wε	je conduis la moto
un ɖo xwe ɖo gleta	j'ai une maison à campagne
vi kpεvi ɔ ɖo xwe tennε	le petit a neuf ans
é ɖi gà	il est élancé
é ɖi gà tahun	il est très élancé
é xwegli	il est court
é xwegli tahun	il est très court
a jɛ xwe gbe ɔ ɖo númi	dis-moi dès que tu arrives à la maison
mɛ lɛ nɔ su kpɔ ɖo amisa	il y a assez de monde à la messe
un bà bonú a na yin asicé	je veux que tu sois ma femme
xwe lo	et toi
xɔ enɛ ɔ ɖokpo	achètes-en un
xɔ suklé wa	achètes et emmène du sucre
un ja xo balɔn	je veux jouer au ballon
un ja xo balɔn	je veux jouer au football
un ja blo supɔ kpeɖe	je veux faire un peu de sport
un ja blo kan wezun kpeɖe	je veux courir un peu
un ja ɖisa kpeɖe	je veux marcher un peu
un ja ɖisa kpeɖe	je veux me balancer un peu
un ja da ayihun kpeɖe	je veux m'amuser un peu
un ja kplon wéman kpeɖe	je veux étudier un peu
é jlo mi man	j'ai envie de
é jlo mi man ji han	j'ai envie de chanter
é jlo mi man da mlɔn	j'ai envie de dormir
é jlo mi man gbɔ jε	j'ai envie de me reposer
tchin	super
tchin	cool
tchin	génial
éɖo tchin	c'est super
éɖo tchin	c'est cool
éɖotchin	c'est génial
biɔwuiɖémεn	ressaisis-toi
biɔ wui ɖémεn	ressaisis-toi
manjomido o	ne me laisses pas
mandjomido o	ne me laisses pas
man yi o	ne pars pas
mi man yi o	ne partez pas
wa fi	viens ici
wafi	viens ici
wa	viens
cɔ huiɖé	méfies-toi
tcho huiɖé	méfies-toi
tchɔ huiɖé	méfies-toi
un yi wan nu wé	je t'aime
un yi wan nuwé	je t'aime
un ɖo amisa sin ali ji	je suis en route pour l'église
un ko wa	je suis déjà arrivé
un kowa	je suis déjà arrivé
un ko wa	je suis déjà arrivée
un kowa	je suis déjà arrivée
é ko wa	il est déjà arrivé
é kowa	il est déjà arrivé
é ko wa	elle est déjà arrivée
é kowa	elle est déjà arrivée
un ko wa xwe gbe	je suis déjà arrivé à la maison
un kowa xwe gbe	je suis déjà arrivé à la maison
un ko wa xwe gbe	je suis déjà arrivée à la maison
un kowa xwe gbe	je suis déjà arrivée à la maison
é ko wa xwe gbe	il est déjà arrivé à la maison
é kowa xwe gbe	il est déjà arrivé à la maison
é ko wa xwe gbe	elle est déjà arrivée à la maison
é kowa xwe gbe	elle est déjà arrivée à la maison
un ko wa xwe gbe	je suis déjà rentré à la maison
un kowa xwe gbe	je suis déjà rentré à la maison
un ko wa xwe gbe	je suis déjà rentrée à la maison
un kowa xwe gbe	je suis déjà rentrée à la maison
é ko wa xwe gbe	il est déjà rentré à la maison
é kowa xwe gbe	il est déjà rentré à la maison
é ko wa xwe gbe	elle est déjà rentrée à la maison
é kowa xwe gbe	elle est déjà rentré eà la maison
etε wa wé	qu'est ce qui t'es arrivé
etε wa wé	qu'est ce qui t'es arrivée
etε wa mi	Qu'est ce qui vous est arrivés
etε wa mi	Qu'est ce qui vous est arrivées
go yiyi	égoisme
go yiyi tɔn sukpo din	son égoisme est trop
é jivi	elle a accouché
yé jivi	elles ont accouchées
mi do kpε	nous rendons grâce
mi ɖo kpε dido wε	nous rendons grâce
un do kpε	je rends grâce
un ɖo kpε dido wε	je rends grâce
mido kpε	nous rendons grâce
miɖo kpε dido wε	nous rendons grâce
undo kpε	je rends grâce
unɖo kpε dido wε	je rends grâce
nɔnvi cé	mon frère
nɔnvi cé	ma soeur
nɔnvi tché	mon frère
nɔnvi tché	ma soeur
ji gbe zan to wé ɖie nɔncé vivε	joyeux anniversaire maman chérie
ji gbe zan to wé ɖie tɔcé vivε	joyeux anniversaire papa chéri
ji gbe zan towé ɖie nɔncé vivε	joyeux anniversaire maman chérie
ji gbe zan towé ɖie tɔcé vivε	joyeux anniversaire papa chéri
jigbe zan to wé ɖie nɔncé vivε	joyeux anniversaire maman chérie
jigbe zan to wé ɖie tɔcé vivε	joyeux anniversaire papa chéri
jigbe zan towé ɖie nɔncé vivε	joyeux anniversaire maman chérie
jigbe zan towé ɖie tɔcé vivε	joyeux anniversaire papa chéri
jigbezan to wé ɖie nɔncé vivε	joyeux anniversaire maman chérie
jigbezan to wé ɖie tɔcé vivε	joyeux anniversaire papa chéri
jigbezan towé ɖie nɔncé vivε	joyeux anniversaire maman chérie
jigbezan towé ɖie tɔcé vivε	joyeux anniversaire papa chéri
ji gbe zan to wé ɖie nɔnvi	joyeux anniversaire frère
ji gbe zan to wé ɖie nɔnvi	joyeux anniversaire soeur
ji gbe zan to wé ɖie nɔnvi cé	joyeux anniversaire mon frère
ji gbe zan to wé ɖie nɔnvi cé	joyeux anniversaire ma soeur
ji gbe zan to wé ɖie nɔnvi tché	joyeux anniversaire mon frère
ji gbe zan to wé ɖie nɔnvi tché	joyeux anniversaire ma soeur
ji gbe zan towé ɖie nɔnvi	joyeux anniversaire frère
ji gbe zan towé ɖie nɔnvi	joyeux anniversaire soeur
ji gbe zan towé ɖie nɔnvi cé	joyeux anniversaire mon frère
ji gbe zan towé ɖie nɔnvi cé	joyeux anniversaire ma soeur
ji gbe zan towé ɖie nɔnvi tché	joyeux anniversaire mon frère
ji gbe zan towé ɖie nɔnvi tché	joyeux anniversaire ma soeur
jigbe zan to wé ɖie nɔnvi	joyeux anniversaire frère
jigbe zan to wé ɖie nɔnvi	joyeux anniversaire soeur
jigbe zan to wé ɖie nɔnvi cé	joyeux anniversaire mon frère
jigbe zan to wé ɖie nɔnvi cé	joyeux anniversaire ma soeur
jigbe zan to wé ɖie nɔnvi tché	joyeux anniversaire mon frère
jigbe zan to wé ɖie nɔnvi tché	joyeux anniversaire ma soeur
jigbe zan towé ɖie nɔnvi	joyeux anniversaire frère
jigbe zan towé ɖie nɔnvi	joyeux anniversaire soeur
jigbe zan towé ɖie nɔnvi cé	joyeux anniversaire mon frère
jigbe zan towé ɖie nɔnvi cé	joyeux anniversaire ma soeur
jigbe zan towé ɖie nɔnvi tché	joyeux anniversaire mon frère
jigbe zan towé ɖie nɔnvi tché	joyeux anniversaire ma soeur
jigbezan to wé ɖie nɔnvi	joyeux anniversaire frère
jigbezan to wé ɖie nɔnvi	joyeux anniversaire soeur
jigbezan to wé ɖie nɔnvi cé	joyeux anniversaire mon frère
jigbezan to wé ɖie nɔnvi cé	joyeux anniversaire ma soeur
jigbezan to wé ɖie nɔnvi tché	joyeux anniversaire mon frère
jigbezan to wé ɖie nɔnvi tché	joyeux anniversaire ma soeur
jigbezan towé ɖie nɔnvi	joyeux anniversaire frère
jigbezan towé ɖie nɔnvi	joyeux anniversaire soeur
jigbezan towé ɖie nɔnvi cé	joyeux anniversaire mon frère
jigbezan towé ɖie nɔnvi cé	joyeux anniversaire ma soeur
jigbezan towé ɖie nɔnvi tché	joyeux anniversaire mon frère
jigbezan towé ɖie nɔnvi tché	joyeux anniversaire ma soeur
ɖunu kpohun	manges seulement
ɖunu kpohoun	manges seulement
ɖounou kpohun	manges seulement
miɖi ɖunu kpohun	mangeons seulement
miɖi ɖunu kpohoun	mangeons seulement
miɖi ɖounou kpohun	mangeons seulement
wa miɖi ɖunu kpohun	mangeons seulement
wa miɖi ɖunu kpohoun	allons-y manger seulement
wa miɖi ɖounou kpohun	allons-y manger seulement
éya wa miɖi yi	ça y est allons-y
éya mi wa miɖi yi	ça y est allons-y
wa wazɔ xa mi	viens travailler avec moi
wa wazɔ xa mi	viens travailler avec nous
mi wa miɖi wazɔ ɖokpɔ	venez qu'on travaille ensemble
mi wa miɖu wazɔ ɖokpɔ	venez qu'on travaille ensemble
wa miɖi wazɔ ɖokpɔ	viens qu'on travaille ensemble
wa miɖu wazɔ ɖokpɔ	viens qu'on travaille ensemble
